
 30e8|xor al,ch 
 30e9|xor cl,ch 
 30ea|xor dl,ch 
 30eb|xor bl,ch 
 30ec|xor ah,ch 
 30ed|xor ch,ch 
 30ee|xor dh,ch 
 30ef|xor bh,ch 
 30f0|xor al,dh 
 30f1|xor cl,dh 
 30f2|xor dl,dh 
 30f3|xor bl,dh 
 30f4|xor ah,dh 
 30f5|xor ch,dh 
 30f6|xor dh,dh 
 30f7|xor bh,dh 
 30f8|xor al,bh 
 30f9|xor cl,bh 
 30fa|xor dl,bh 
 30fb|xor bl,bh 
 30fc|xor ah,bh 
 30fd|xor ch,bh 
 30fe|xor dh,bh 
 30ff|xor bh,bh 
 3104|xor [si],ax 
 3105|xor [di],ax 
 3107|xor [bx],ax 
 310c|xor [si],cx 
 310d|xor [di],cx 
 310f|xor [bx],cx 
 3114|xor [si],dx 
 3115|xor [di],dx 
 3117|xor [bx],dx 
 311c|xor [si],bx 
 311d|xor [di],bx 
 311f|xor [bx],bx 
 3124|xor [si],sp 
 3125|xor [di],sp 
 3127|xor [bx],sp 
 312c|xor [si],bp 
 312d|xor [di],bp 
 312f|xor [bx],bp 
 3134|xor [si],si 
 3135|xor [di],si 
 3137|xor [bx],si 
 313c|xor [si],di 
 313d|xor [di],di 
 313f|xor [bx],di 
 314600|xor [bp],ax 
 314e00|xor [bp],cx 
 315600|xor [bp],dx 
 315e00|xor [bp],bx 
 316600|xor [bp],sp 
 316e00|xor [bp],bp 
 317600|xor [bp],si 
 317e00|xor [bp],di 
 31c0|xor ax,ax 
 31c1|xor cx,ax 
 31c2|xor dx,ax 
 31c3|xor bx,ax 
 31c4|xor sp,ax 
 31c5|xor bp,ax 
 31c6|xor si,ax 
 31c7|xor di,ax 
 31c8|xor ax,cx 
 31c9|xor cx,cx 
 31ca|xor dx,cx 
 31cb|xor bx,cx 
 31cc|xor sp,cx 
 31cd|xor bp,cx 
 31ce|xor si,cx 
 31cf|xor di,cx 
 31d0|xor ax,dx 
 31d1|xor cx,dx 
 31d2|xor dx,dx 
 31d3|xor bx,dx 
 31d4|xor sp,dx 
 31d5|xor bp,dx 
 31d6|xor si,dx 
 31d7|xor di,dx 
 31d8|xor ax,bx 
 31d9|xor cx,bx 
 31da|xor dx,bx 
 31db|xor bx,bx 
 31dc|xor sp,bx 
 31dd|xor bp,bx 
 31de|xor si,bx 
 31df|xor di,bx 
 31e0|xor ax,sp 
 31e1|xor cx,sp 
 31e2|xor dx,sp 
 31e3|xor bx,sp 
 31e4|xor sp,sp 
 31e5|xor bp,sp 
 31e6|xor si,sp 
 31e7|xor di,sp 
 31e8|xor ax,bp 
 31e9|xor cx,bp 
 31ea|xor dx,bp 
 31eb|xor bx,bp 
 31ec|xor sp,bp 
 31ed|xor bp,bp 
 31ee|xor si,bp 
 31ef|xor di,bp 
 31f0|xor ax,si 
 31f1|xor cx,si 
 31f2|xor dx,si 
 31f3|xor bx,si 
 31f4|xor sp,si 
 31f5|xor bp,si 
 31f6|xor si,si 
 31f7|xor di,si 
 31f8|xor ax,di 
 31f9|xor cx,di 
 31fa|xor dx,di 
 31fb|xor bx,di 
 31fc|xor sp,di 
 31fd|xor bp,di 
 31fe|xor si,di 
 31ff|xor di,di 
 3304|xor ax,[si] 
 3305|xor ax,[di] 
 3307|xor ax,[bx] 
 330c|xor cx,[si] 
 330d|xor cx,[di] 
 330f|xor cx,[bx] 
 3314|xor dx,[si] 
 3315|xor dx,[di] 
 3317|xor dx,[bx] 
 331c|xor bx,[si] 
 331d|xor bx,[di] 
 331f|xor bx,[bx] 
 3324|xor sp,[si] 
 3325|xor sp,[di] 
 3327|xor sp,[bx] 
 332c|xor bp,[si] 
 332d|xor bp,[di] 
 332f|xor bp,[bx] 
 3334|xor si,[si] 
 3335|xor si,[di] 
 3337|xor si,[bx] 
 333c|xor di,[si] 
 333d|xor di,[di] 
 333f|xor di,[bx] 
 334600|xor ax,[bp] 
 334e00|xor cx,[bp] 
 335600|xor dx,[bp] 
 335e00|xor bx,[bp] 
 336600|xor sp,[bp] 
 336e00|xor bp,[bp] 
 337600|xor si,[bp] 
 337e00|xor di,[bp] 
 34ff|xor al,0xff 
 350010|xor ax,0x1000 
 37|aaa 
 3f|aas 
 40|inc ax 
 41|inc cx 
 42|inc dx 
 43|inc bx 
 44|inc sp 
 45|inc bp 
 46|inc si 
 47|inc di 
 48|dec ax 
 49|dec cx 
 4a|dec dx 
 4b|dec bx 
 4c|dec sp 
 4d|dec bp 
 4e|dec si 
 4f|dec di 
 60|pusha 
 60|pushaw 
 61|popa 
 6601c0|add eax,eax 
 6601c1|add ecx,eax 
 6601c2|add edx,eax 
 6601c3|add ebx,eax 
 6601c4|add esp,eax 
 6601c5|add ebp,eax 
 6601c6|add esi,eax 
 6601c7|add edi,eax 
 6601c8|add eax,ecx 
 6601c9|add ecx,ecx 
 6601ca|add edx,ecx 
 6601cb|add ebx,ecx 
 6601cc|add esp,ecx 
 6601cd|add ebp,ecx 
 6601ce|add esi,ecx 
 6601cf|add edi,ecx 
 6601d0|add eax,edx 
 6601d1|add ecx,edx 
 6601d2|add edx,edx 
 6601d3|add ebx,edx 
 6601d4|add esp,edx 
 6601d5|add ebp,edx 
 6601d6|add esi,edx 
 6601d7|add edi,edx 
 6601d8|add eax,ebx 
 6601d9|add ecx,ebx 
 6601da|add edx,ebx 
 6601db|add ebx,ebx 
 6601dc|add esp,ebx 
 6601dd|add ebp,ebx 
 6601de|add esi,ebx 
 6601df|add edi,ebx 
 6601e0|add eax,esp 
 6601e1|add ecx,esp 
 6601e2|add edx,esp 
 6601e3|add ebx,esp 
 6601e4|add esp,esp 
 6601e5|add ebp,esp 
 6601e6|add esi,esp 
 6601e7|add edi,esp 
 6601e8|add eax,ebp 
 6601e9|add ecx,ebp 
 6601ea|add edx,ebp 
 6601eb|add ebx,ebp 
 6601ec|add esp,ebp 
 6601ed|add ebp,ebp 
 6601ee|add esi,ebp 
 6601ef|add edi,ebp 
 6601f0|add eax,esi 
 6601f1|add ecx,esi 
 6601f2|add edx,esi 
 6601f3|add ebx,esi 
 6601f4|add esp,esi 
 6601f5|add ebp,esi 
 6601f6|add esi,esi 
 6601f7|add edi,esi 
 6601f8|add eax,edi 
 6601f9|add ecx,edi 
 6601fa|add edx,edi 
 6601fb|add ebx,edi 
 6601fc|add esp,edi 
