09f6|or si,si
09f7|or di,si
09f8|or ax,di
09f9|or cx,di
09fa|or dx,di
09fb|or bx,di
09fc|or sp,di
09fd|or bp,di
09fe|or si,di
09ff|or di,di
0a04|or al,[si]
0a05|or al,[di]
0a060010|or al,[0x1000]
0a06ff00|or al,[0xff]
0a07|or al,[bx]
0a0c|or cl,[si]
0a0d|or cl,[di]
0a0e0010|or cl,[0x1000]
0a0eff00|or cl,[0xff]
0a0f|or cl,[bx]
0a14|or dl,[si]
0a15|or dl,[di]
0a160010|or dl,[0x1000]
0a16ff00|or dl,[0xff]
0a17|or dl,[bx]
0a1c|or bl,[si]
0a1d|or bl,[di]
0a1e0010|or bl,[0x1000]
0a1eff00|or bl,[0xff]
0a1f|or bl,[bx]
0a24|or ah,[si]
0a25|or ah,[di]
0a260010|or ah,[0x1000]
0a26ff00|or ah,[0xff]
0a27|or ah,[bx]
0a2c|or ch,[si]
0a2d|or ch,[di]
0a2e0010|or ch,[0x1000]
0a2eff00|or ch,[0xff]
0a2f|or ch,[bx]
0a34|or dh,[si]
0a35|or dh,[di]
0a360010|or dh,[0x1000]
0a36ff00|or dh,[0xff]
0a37|or dh,[bx]
0a3c|or bh,[si]
0a3d|or bh,[di]
0a3e0010|or bh,[0x1000]
0a3eff00|or bh,[0xff]
0a3f|or bh,[bx]
0a4600|or al,[bp]
0a4e00|or cl,[bp]
0a5600|or dl,[bp]
0a5e00|or bl,[bp]
0a6600|or ah,[bp]
0a6e00|or ch,[bp]
0a7600|or dh,[bp]
0a7e00|or bh,[bp]
0b04|or ax,[si]
0b05|or ax,[di]
0b060010|or ax,[0x1000]
0b06ff00|or ax,[0xff]
0b07|or ax,[bx]
0b0c|or cx,[si]
0b0d|or cx,[di]
0b0e0010|or cx,[0x1000]
0b0eff00|or cx,[0xff]
0b0f|or cx,[bx]
0b14|or dx,[si]
0b15|or dx,[di]
0b160010|or dx,[0x1000]
0b16ff00|or dx,[0xff]
0b17|or dx,[bx]
0b1c|or bx,[si]
0b1d|or bx,[di]
0b1e0010|or bx,[0x1000]
0b1eff00|or bx,[0xff]
0b1f|or bx,[bx]
0b24|or sp,[si]
0b25|or sp,[di]
0b260010|or sp,[0x1000]
0b26ff00|or sp,[0xff]
0b27|or sp,[bx]
0b2c|or bp,[si]
0b2d|or bp,[di]
0b2e0010|or bp,[0x1000]
0b2eff00|or bp,[0xff]
0b2f|or bp,[bx]
0b34|or si,[si]
0b35|or si,[di]
0b360010|or si,[0x1000]
0b36ff00|or si,[0xff]
0b37|or si,[bx]
0b3c|or di,[si]
0b3d|or di,[di]
0b3e0010|or di,[0x1000]
0b3eff00|or di,[0xff]
0b3f|or di,[bx]
0b4600|or ax,[bp]
0b4e00|or cx,[bp]
0b5600|or dx,[bp]
0b5e00|or bx,[bp]
0b6600|or sp,[bp]
0b6e00|or bp,[bp]
0b7600|or si,[bp]
0b7e00|or di,[bp]
0cff|or al,0xff
0d0010|or ax,0x1000
0dff00|or ax,0xff
0f0304|lsl ax,[si]
0f0305|lsl ax,[di]
0f03060010|lsl ax,[0x1000]
0f0306ff00|lsl ax,[0xff]
0f0307|lsl ax,[bx]
0f030c|lsl cx,[si]
0f030d|lsl cx,[di]
0f030e0010|lsl cx,[0x1000]
0f030eff00|lsl cx,[0xff]
0f030f|lsl cx,[bx]
0f0314|lsl dx,[si]
0f0315|lsl dx,[di]
0f03160010|lsl dx,[0x1000]
0f0316ff00|lsl dx,[0xff]
0f0317|lsl dx,[bx]
0f031c|lsl bx,[si]
0f031d|lsl bx,[di]
0f031e0010|lsl bx,[0x1000]
0f031eff00|lsl bx,[0xff]
0f031f|lsl bx,[bx]
0f0324|lsl sp,[si]
0f0325|lsl sp,[di]
0f03260010|lsl sp,[0x1000]
0f0326ff00|lsl sp,[0xff]
0f0327|lsl sp,[bx]
0f032c|lsl bp,[si]
0f032d|lsl bp,[di]
0f032e0010|lsl bp,[0x1000]
0f032eff00|lsl bp,[0xff]
0f032f|lsl bp,[bx]
0f0334|lsl si,[si]
0f0335|lsl si,[di]
0f03360010|lsl si,[0x1000]
0f0336ff00|lsl si,[0xff]
0f0337|lsl si,[bx]
0f033c|lsl di,[si]
0f033d|lsl di,[di]
0f033e0010|lsl di,[0x1000]
0f033eff00|lsl di,[0xff]
0f033f|lsl di,[bx]
0f034600|lsl ax,[bp]
0f034e00|lsl cx,[bp]
0f035600|lsl dx,[bp]
0f035e00|lsl bx,[bp]
0f036600|lsl sp,[bp]
0f036e00|lsl bp,[bp]
0f037600|lsl si,[bp]
0f037e00|lsl di,[bp]
0f03c0|lsl ax,ax
0f03c0|lsl ax,eax
0f03c1|lsl ax,cx
0f03c1|lsl ax,ecx
0f03c2|lsl ax,dx
0f03c3|lsl ax,bx
0f03c3|lsl ax,ebx
0f03c4|lsl ax,esp
0f03c4|lsl ax,sp
0f03c5|lsl ax,bp
0f03c5|lsl ax,ebp
0f03c6|lsl ax,esi
0f03c6|lsl ax,si
0f03c7|lsl ax,di
0f03c7|lsl ax,edi
0f03c8|lsl cx,ax
0f03c8|lsl cx,eax
0f03c9|lsl cx,cx
0f03c9|lsl cx,ecx
0f03ca|lsl cx,dx
0f03cb|lsl cx,bx
0f03cb|lsl cx,ebx
0f03cc|lsl cx,esp
0f03cc|lsl cx,sp
0f03cd|lsl cx,bp
0f03cd|lsl cx,ebp
0f03ce|lsl cx,esi
0f03ce|lsl cx,si
0f03cf|lsl cx,di
0f03cf|lsl cx,edi
0f03d0|lsl dx,ax
0f03d0|lsl dx,eax
0f03d1|lsl dx,cx
0f03d1|lsl dx,ecx
0f03d2|lsl dx,dx
0f03d3|lsl dx,bx
0f03d3|lsl dx,ebx
0f03d4|lsl dx,esp
0f03d4|lsl dx,sp
0f03d5|lsl dx,bp
0f03d5|lsl dx,ebp
0f03d6|lsl dx,esi
0f03d6|lsl dx,si
0f03d7|lsl dx,di
0f03d7|lsl dx,edi
0f03d8|lsl bx,ax
0f03d8|lsl bx,eax
0f03d9|lsl bx,cx
0f03d9|lsl bx,ecx
0f03da|lsl bx,dx
0f03db|lsl bx,bx
0f03db|lsl bx,ebx
0f03dc|lsl bx,esp
0f03dc|lsl bx,sp
0f03dd|lsl bx,bp
0f03dd|lsl bx,ebp
0f03de|lsl bx,esi
0f03de|lsl bx,si
0f03df|lsl bx,di
0f03df|lsl bx,edi
0f03e0|lsl sp,ax
0f03e0|lsl sp,eax
0f03e1|lsl sp,cx
0f03e1|lsl sp,ecx
0f03e2|lsl sp,dx
0f03e3|lsl sp,bx
0f03e3|lsl sp,ebx
0f03e4|lsl sp,esp
0f03e4|lsl sp,sp
0f03e5|lsl sp,bp
0f03e5|lsl sp,ebp
0f03e6|lsl sp,esi
0f03e6|lsl sp,si
0f03e7|lsl sp,di
0f03e7|lsl sp,edi
0f03e8|lsl bp,ax
0f03e8|lsl bp,eax
0f03e9|lsl bp,cx
0f03e9|lsl bp,ecx
0f03ea|lsl bp,dx
0f03eb|lsl bp,bx
0f03eb|lsl bp,ebx
0f03ec|lsl bp,esp
0f03ec|lsl bp,sp
0f03ed|lsl bp,bp
0f03ed|lsl bp,ebp
0f03ee|lsl bp,esi
0f03ee|lsl bp,si
0f03ef|lsl bp,di
0f03ef|lsl bp,edi
0f03f0|lsl si,ax
0f03f0|lsl si,eax
0f03f1|lsl si,cx
0f03f1|lsl si,ecx
0f03f2|lsl si,dx
0f03f3|lsl si,bx
0f03f3|lsl si,ebx
0f03f4|lsl si,esp
0f03f4|lsl si,sp
0f03f5|lsl si,bp
0f03f5|lsl si,ebp
0f03f6|lsl si,esi
0f03f6|lsl si,si
0f03f7|lsl si,di
0f03f7|lsl si,edi
0f03f8|lsl di,ax
0f03f8|lsl di,eax
0f03f9|lsl di,cx
0f03f9|lsl di,ecx
0f03fa|lsl di,dx
0f03fb|lsl di,bx
0f03fb|lsl di,ebx
0f03fc|lsl di,esp
0f03fc|lsl di,sp
0f03fd|lsl di,bp
0f03fd|lsl di,ebp
0f03fe|lsl di,esi
0f03fe|lsl di,si
0f03ff|lsl di,di
0f03ff|lsl di,edi
0f1004|umov [si],al
0f1005|umov [di],al
0f10060010|umov [0x1000],al
0f1006ff00|umov [0xff],al
0f1007|umov [bx],al
0f100c|umov [si],cl
0f100d|umov [di],cl
0f100e0010|umov [0x1000],cl
0f100eff00|umov [0xff],cl
0f100f|umov [bx],cl
0f1014|umov [si],dl
0f1015|umov [di],dl
0f10160010|umov [0x1000],dl
0f1016ff00|umov [0xff],dl
0f1017|umov [bx],dl
0f101c|umov [si],bl
0f101d|umov [di],bl
0f101e0010|umov [0x1000],bl
0f101eff00|umov [0xff],bl
0f101f|umov [bx],bl
0f1024|umov [si],ah
0f1025|umov [di],ah
0f10260010|umov [0x1000],ah
0f1026ff00|umov [0xff],ah
0f1027|umov [bx],ah
0f102c|umov [si],ch
0f102d|umov [di],ch
0f102e0010|umov [0x1000],ch
0f102eff00|umov [0xff],ch
0f102f|umov [bx],ch
0f1034|umov [si],dh
0f1035|umov [di],dh
0f10360010|umov [0x1000],dh
0f1036ff00|umov [0xff],dh
0f1037|umov [bx],dh
0f103c|umov [si],bh
0f103d|umov [di],bh
0f103e0010|umov [0x1000],bh
0f103eff00|umov [0xff],bh
0f103f|umov [bx],bh
0f104600|umov [bp],al
0f104e00|umov [bp],cl
0f105600|umov [bp],dl
0f105e00|umov [bp],bl
0f106600|umov [bp],ah
0f106e00|umov [bp],ch
0f107600|umov [bp],dh
0f107e00|umov [bp],bh
0f10c0|umov al,al
0f10c1|umov cl,al
0f10c2|umov dl,al
0f10c3|umov bl,al
0f10c4|umov ah,al
0f10c5|umov ch,al
0f10c6|umov dh,al
0f10c7|umov bh,al
0f10c8|umov al,cl
0f10c9|umov cl,cl
0f10ca|umov dl,cl
0f10cb|umov bl,cl
0f10cc|umov ah,cl
0f10cd|umov ch,cl
0f10ce|umov dh,cl
0f10cf|umov bh,cl
0f10d0|umov al,dl
0f10d1|umov cl,dl
0f10d2|umov dl,dl
0f10d3|umov bl,dl
0f10d4|umov ah,dl
0f10d5|umov ch,dl
0f10d6|umov dh,dl
0f10d7|umov bh,dl
0f10d8|umov al,bl
0f10d9|umov cl,bl
0f10da|umov dl,bl
0f10db|umov bl,bl
0f10dc|umov ah,bl
0f10dd|umov ch,bl
0f10de|umov dh,bl
0f10df|umov bh,bl
0f10e0|umov al,ah
0f10e1|umov cl,ah
0f10e2|umov dl,ah
0f10e3|umov bl,ah
0f10e4|umov ah,ah
0f10e5|umov ch,ah
0f10e6|umov dh,ah
0f10e7|umov bh,ah
0f10e8|umov al,ch
0f10e9|umov cl,ch
0f10ea|umov dl,ch
0f10eb|umov bl,ch
0f10ec|umov ah,ch
0f10ed|umov ch,ch
0f10ee|umov dh,ch
0f10ef|umov bh,ch
0f10f0|umov al,dh
