and bp,si | 21f5
and bp,di | 21fd
and bp,sp | 21e5
and bp,[bx] | 232f
and bp,[si] | 232c
and bp,[di] | 232d
and bp,bp | 21ed
and bp,[bp] | 236e00
and bp,0x1000 | 81e50010
and [bp],ax | 214600
and [bp],bx | 215e00
and [bp],cx | 214e00
and [bp],dx | 215600
and [bp],si | 217600
and [bp],di | 217e00
and [bp],sp | 216600
and [bp],bp | 216e00
or ax,ax | 09c0
or ax,bx | 09d8
or ax,cx | 09c8
or ax,dx | 09d0
or ax,si | 09f0
or ax,di | 09f8
or ax,sp | 09e0
or ax,[bx] | 0b07
or ax,[si] | 0b04
or ax,[di] | 0b05
or ax,bp | 09e8
or ax,[bp] | 0b4600
or ax,0x1000 | 0d0010
or bx,ax | 09c3
or bx,bx | 09db
or bx,cx | 09cb
or bx,dx | 09d3
or bx,si | 09f3
or bx,di | 09fb
or bx,sp | 09e3
or bx,[bx] | 0b1f
or bx,[si] | 0b1c
or bx,[di] | 0b1d
or bx,bp | 09eb
or bx,[bp] | 0b5e00
or bx,0x1000 | 81cb0010
or cx,ax | 09c1
or cx,bx | 09d9
or cx,cx | 09c9
or cx,dx | 09d1
or cx,si | 09f1
or cx,di | 09f9
or cx,sp | 09e1
or cx,[bx] | 0b0f
or cx,[si] | 0b0c
or cx,[di] | 0b0d
or cx,bp | 09e9
or cx,[bp] | 0b4e00
or cx,0x1000 | 81c90010
or dx,ax | 09c2
or dx,bx | 09da
or dx,cx | 09ca
or dx,dx | 09d2
or dx,si | 09f2
or dx,di | 09fa
or dx,sp | 09e2
or dx,[bx] | 0b17
or dx,[si] | 0b14
or dx,[di] | 0b15
or dx,bp | 09ea
or dx,[bp] | 0b5600
or dx,0x1000 | 81ca0010
or si,ax | 09c6
or si,bx | 09de
or si,cx | 09ce
or si,dx | 09d6
or si,si | 09f6
or si,di | 09fe
or si,sp | 09e6
or si,[bx] | 0b37
or si,[si] | 0b34
or si,[di] | 0b35
or si,bp | 09ee
or si,[bp] | 0b7600
or si,0x1000 | 81ce0010
or di,ax | 09c7
or di,bx | 09df
or di,cx | 09cf
or di,dx | 09d7
or di,si | 09f7
or di,di | 09ff
or di,sp | 09e7
or di,[bx] | 0b3f
or di,[si] | 0b3c
or di,[di] | 0b3d
or di,bp | 09ef
or di,[bp] | 0b7e00
or di,0x1000 | 81cf0010
or sp,ax | 09c4
or sp,bx | 09dc
or sp,cx | 09cc
or sp,dx | 09d4
or sp,si | 09f4
or sp,di | 09fc
or sp,sp | 09e4
or sp,[bx] | 0b27
or sp,[si] | 0b24
or sp,[di] | 0b25
or sp,bp | 09ec
or sp,[bp] | 0b6600
or sp,0x1000 | 81cc0010
or [bx],ax | 0907
or [bx],bx | 091f
or [bx],cx | 090f
or [bx],dx | 0917
or [bx],si | 0937
or [bx],di | 093f
or [bx],sp | 0927
or [bx],bp | 092f
or [si],ax | 0904
or [si],bx | 091c
or [si],cx | 090c
or [si],dx | 0914
or [si],si | 0934
or [si],di | 093c
or [si],sp | 0924
or [si],bp | 092c
or [di],ax | 0905
or [di],bx | 091d
or [di],cx | 090d
or [di],dx | 0915
or [di],si | 0935
or [di],di | 093d
or [di],sp | 0925
or [di],bp | 092d
or bp,ax | 09c5
or bp,bx | 09dd
or bp,cx | 09cd
or bp,dx | 09d5
or bp,si | 09f5
or bp,di | 09fd
or bp,sp | 09e5
or bp,[bx] | 0b2f
or bp,[si] | 0b2c
or bp,[di] | 0b2d
or bp,bp | 09ed
or bp,[bp] | 0b6e00
or bp,0x1000 | 81cd0010
or [bp],ax | 094600
or [bp],bx | 095e00
or [bp],cx | 094e00
or [bp],dx | 095600
or [bp],si | 097600
or [bp],di | 097e00
or [bp],sp | 096600
or [bp],bp | 096e00
xor ax,ax | 31c0
xor ax,bx | 31d8
xor ax,cx | 31c8
xor ax,dx | 31d0
xor ax,si | 31f0
xor ax,di | 31f8
xor ax,sp | 31e0
xor ax,[bx] | 3307
xor ax,[si] | 3304
xor ax,[di] | 3305
xor ax,bp | 31e8
xor ax,[bp] | 334600
xor ax,0x1000 | 350010
xor bx,ax | 31c3
xor bx,bx | 31db
xor bx,cx | 31cb
xor bx,dx | 31d3
xor bx,si | 31f3
xor bx,di | 31fb
xor bx,sp | 31e3
xor bx,[bx] | 331f
xor bx,[si] | 331c
xor bx,[di] | 331d
xor bx,bp | 31eb
xor bx,[bp] | 335e00
xor bx,0x1000 | 81f30010
xor cx,ax | 31c1
xor cx,bx | 31d9
xor cx,cx | 31c9
xor cx,dx | 31d1
xor cx,si | 31f1
xor cx,di | 31f9
xor cx,sp | 31e1
xor cx,[bx] | 330f
xor cx,[si] | 330c
xor cx,[di] | 330d
xor cx,bp | 31e9
xor cx,[bp] | 334e00
xor cx,0x1000 | 81f10010
xor dx,ax | 31c2
xor dx,bx | 31da
xor dx,cx | 31ca
xor dx,dx | 31d2
xor dx,si | 31f2
xor dx,di | 31fa
xor dx,sp | 31e2
xor dx,[bx] | 3317
xor dx,[si] | 3314
xor dx,[di] | 3315
xor dx,bp | 31ea
xor dx,[bp] | 335600
xor dx,0x1000 | 81f20010
xor si,ax | 31c6
xor si,bx | 31de
xor si,cx | 31ce
xor si,dx | 31d6
xor si,si | 31f6
xor si,di | 31fe
xor si,sp | 31e6
xor si,[bx] | 3337
xor si,[si] | 3334
xor si,[di] | 3335
xor si,bp | 31ee
xor si,[bp] | 337600
xor si,0x1000 | 81f60010
xor di,ax | 31c7
xor di,bx | 31df
xor di,cx | 31cf
xor di,dx | 31d7
xor di,si | 31f7
xor di,di | 31ff
xor di,sp | 31e7
xor di,[bx] | 333f
xor di,[si] | 333c
xor di,[di] | 333d
xor di,bp | 31ef
xor di,[bp] | 337e00
xor di,0x1000 | 81f70010
xor sp,ax | 31c4
xor sp,bx | 31dc
xor sp,cx | 31cc
xor sp,dx | 31d4
xor sp,si | 31f4
xor sp,di | 31fc
xor sp,sp | 31e4
xor sp,[bx] | 3327
xor sp,[si] | 3324
xor sp,[di] | 3325
xor sp,bp | 31ec
xor sp,[bp] | 336600
xor sp,0x1000 | 81f40010
xor [bx],ax | 3107
xor [bx],bx | 311f
xor [bx],cx | 310f
xor [bx],dx | 3117
xor [bx],si | 3137
xor [bx],di | 313f
xor [bx],sp | 3127
xor [bx],bp | 312f
xor [si],ax | 3104
xor [si],bx | 311c
xor [si],cx | 310c
xor [si],dx | 3114
xor [si],si | 3134
xor [si],di | 313c
xor [si],sp | 3124
xor [si],bp | 312c
xor [di],ax | 3105
xor [di],bx | 311d
xor [di],cx | 310d
xor [di],dx | 3115
xor [di],si | 3135
xor [di],di | 313d
xor [di],sp | 3125
xor [di],bp | 312d
xor bp,ax | 31c5
xor bp,bx | 31dd
xor bp,cx | 31cd
xor bp,dx | 31d5
xor bp,si | 31f5
xor bp,di | 31fd
xor bp,sp | 31e5
xor bp,[bx] | 332f
xor bp,[si] | 332c
xor bp,[di] | 332d
xor bp,bp | 31ed
xor bp,[bp] | 336e00
xor bp,0x1000 | 81f50010
xor [bp],ax | 314600
xor [bp],bx | 315e00
xor [bp],cx | 314e00
xor [bp],dx | 315600
xor [bp],si | 317600
xor [bp],di | 317e00
xor [bp],sp | 316600
xor [bp],bp | 316e00
