and ebp,[ebx] | 6667232b
and ebp,[esi] | 6667232e
and ebp,[edi] | 6667232f
and ebp,[esp] | 6667232c24
and ebp,ebp | 6621ed
and ebp,[ebp] | 6667236d00
and ebp,0x10000000 | 6681e500000010
and [ebp],eax | 6667214500
and [ebp],ebx | 6667215d00
and [ebp],ecx | 6667214d00
and [ebp],edx | 6667215500
and [ebp],esi | 6667217500
and [ebp],edi | 6667217d00
and [ebp],esp | 6667216500
and [ebp],ebp | 6667216d00
or eax,eax | 6609c0
or eax,ebx | 6609d8
or eax,ecx | 6609c8
or eax,edx | 6609d0
or eax,esi | 6609f0
or eax,edi | 6609f8
or eax,esp | 6609e0
or eax,[ebx] | 66670b03
or eax,[esi] | 66670b06
or eax,[edi] | 66670b07
or eax,[esp] | 66670b0424
or eax,ebp | 6609e8
or eax,[ebp] | 66670b4500
or eax,0x10000000 | 660d00000010
or ebx,eax | 6609c3
or ebx,ebx | 6609db
or ebx,ecx | 6609cb
or ebx,edx | 6609d3
or ebx,esi | 6609f3
or ebx,edi | 6609fb
or ebx,esp | 6609e3
or ebx,[ebx] | 66670b1b
or ebx,[esi] | 66670b1e
or ebx,[edi] | 66670b1f
or ebx,[esp] | 66670b1c24
or ebx,ebp | 6609eb
or ebx,[ebp] | 66670b5d00
or ebx,0x10000000 | 6681cb00000010
or ecx,eax | 6609c1
or ecx,ebx | 6609d9
or ecx,ecx | 6609c9
or ecx,edx | 6609d1
or ecx,esi | 6609f1
or ecx,edi | 6609f9
or ecx,esp | 6609e1
or ecx,[ebx] | 66670b0b
or ecx,[esi] | 66670b0e
or ecx,[edi] | 66670b0f
or ecx,[esp] | 66670b0c24
or ecx,ebp | 6609e9
or ecx,[ebp] | 66670b4d00
or ecx,0x10000000 | 6681c900000010
or edx,eax | 6609c2
or edx,ebx | 6609da
or edx,ecx | 6609ca
or edx,edx | 6609d2
or edx,esi | 6609f2
or edx,edi | 6609fa
or edx,esp | 6609e2
or edx,[ebx] | 66670b13
or edx,[esi] | 66670b16
or edx,[edi] | 66670b17
or edx,[esp] | 66670b1424
or edx,ebp | 6609ea
or edx,[ebp] | 66670b5500
or edx,0x10000000 | 6681ca00000010
or esi,eax | 6609c6
or esi,ebx | 6609de
or esi,ecx | 6609ce
or esi,edx | 6609d6
or esi,esi | 6609f6
or esi,edi | 6609fe
or esi,esp | 6609e6
or esi,[ebx] | 66670b33
or esi,[esi] | 66670b36
or esi,[edi] | 66670b37
or esi,[esp] | 66670b3424
or esi,ebp | 6609ee
or esi,[ebp] | 66670b7500
or esi,0x10000000 | 6681ce00000010
or edi,eax | 6609c7
or edi,ebx | 6609df
or edi,ecx | 6609cf
or edi,edx | 6609d7
or edi,esi | 6609f7
or edi,edi | 6609ff
or edi,esp | 6609e7
or edi,[ebx] | 66670b3b
or edi,[esi] | 66670b3e
or edi,[edi] | 66670b3f
or edi,[esp] | 66670b3c24
or edi,ebp | 6609ef
or edi,[ebp] | 66670b7d00
or edi,0x10000000 | 6681cf00000010
or esp,eax | 6609c4
or esp,ebx | 6609dc
or esp,ecx | 6609cc
or esp,edx | 6609d4
or esp,esi | 6609f4
or esp,edi | 6609fc
or esp,esp | 6609e4
or esp,[ebx] | 66670b23
or esp,[esi] | 66670b26
or esp,[edi] | 66670b27
or esp,[esp] | 66670b2424
or esp,ebp | 6609ec
or esp,[ebp] | 66670b6500
or esp,0x10000000 | 6681cc00000010
or [ebx],eax | 66670903
or [ebx],ebx | 6667091b
or [ebx],ecx | 6667090b
or [ebx],edx | 66670913
or [ebx],esi | 66670933
or [ebx],edi | 6667093b
or [ebx],esp | 66670923
or [ebx],ebp | 6667092b
or [esi],eax | 66670906
or [esi],ebx | 6667091e
or [esi],ecx | 6667090e
or [esi],edx | 66670916
or [esi],esi | 66670936
or [esi],edi | 6667093e
or [esi],esp | 66670926
or [esi],ebp | 6667092e
or [edi],eax | 66670907
or [edi],ebx | 6667091f
or [edi],ecx | 6667090f
or [edi],edx | 66670917
or [edi],esi | 66670937
or [edi],edi | 6667093f
or [edi],esp | 66670927
or [edi],ebp | 6667092f
or [esp],eax | 6667090424
or [esp],ebx | 6667091c24
or [esp],ecx | 6667090c24
or [esp],edx | 6667091424
or [esp],esi | 6667093424
or [esp],edi | 6667093c24
or [esp],esp | 6667092424
or [esp],ebp | 6667092c24
or ebp,eax | 6609c5
or ebp,ebx | 6609dd
or ebp,ecx | 6609cd
or ebp,edx | 6609d5
or ebp,esi | 6609f5
or ebp,edi | 6609fd
or ebp,esp | 6609e5
or ebp,[ebx] | 66670b2b
or ebp,[esi] | 66670b2e
or ebp,[edi] | 66670b2f
or ebp,[esp] | 66670b2c24
or ebp,ebp | 6609ed
or ebp,[ebp] | 66670b6d00
or ebp,0x10000000 | 6681cd00000010
or [ebp],eax | 6667094500
or [ebp],ebx | 6667095d00
or [ebp],ecx | 6667094d00
or [ebp],edx | 6667095500
or [ebp],esi | 6667097500
or [ebp],edi | 6667097d00
or [ebp],esp | 6667096500
or [ebp],ebp | 6667096d00
xor eax,eax | 6631c0
xor eax,ebx | 6631d8
xor eax,ecx | 6631c8
xor eax,edx | 6631d0
xor eax,esi | 6631f0
xor eax,edi | 6631f8
xor eax,esp | 6631e0
xor eax,[ebx] | 66673303
xor eax,[esi] | 66673306
xor eax,[edi] | 66673307
xor eax,[esp] | 6667330424
xor eax,ebp | 6631e8
xor eax,[ebp] | 6667334500
xor eax,0x10000000 | 663500000010
xor ebx,eax | 6631c3
xor ebx,ebx | 6631db
xor ebx,ecx | 6631cb
xor ebx,edx | 6631d3
xor ebx,esi | 6631f3
xor ebx,edi | 6631fb
xor ebx,esp | 6631e3
xor ebx,[ebx] | 6667331b
xor ebx,[esi] | 6667331e
xor ebx,[edi] | 6667331f
xor ebx,[esp] | 6667331c24
xor ebx,ebp | 6631eb
xor ebx,[ebp] | 6667335d00
xor ebx,0x10000000 | 6681f300000010
xor ecx,eax | 6631c1
xor ecx,ebx | 6631d9
xor ecx,ecx | 6631c9
xor ecx,edx | 6631d1
xor ecx,esi | 6631f1
xor ecx,edi | 6631f9
xor ecx,esp | 6631e1
xor ecx,[ebx] | 6667330b
xor ecx,[esi] | 6667330e
xor ecx,[edi] | 6667330f
xor ecx,[esp] | 6667330c24
xor ecx,ebp | 6631e9
xor ecx,[ebp] | 6667334d00
xor ecx,0x10000000 | 6681f100000010
xor edx,eax | 6631c2
xor edx,ebx | 6631da
xor edx,ecx | 6631ca
xor edx,edx | 6631d2
xor edx,esi | 6631f2
xor edx,edi | 6631fa
xor edx,esp | 6631e2
xor edx,[ebx] | 66673313
xor edx,[esi] | 66673316
xor edx,[edi] | 66673317
xor edx,[esp] | 6667331424
xor edx,ebp | 6631ea
xor edx,[ebp] | 6667335500
xor edx,0x10000000 | 6681f200000010
xor esi,eax | 6631c6
xor esi,ebx | 6631de
xor esi,ecx | 6631ce
xor esi,edx | 6631d6
xor esi,esi | 6631f6
xor esi,edi | 6631fe
xor esi,esp | 6631e6
xor esi,[ebx] | 66673333
xor esi,[esi] | 66673336
xor esi,[edi] | 66673337
xor esi,[esp] | 6667333424
xor esi,ebp | 6631ee
xor esi,[ebp] | 6667337500
xor esi,0x10000000 | 6681f600000010
xor edi,eax | 6631c7
xor edi,ebx | 6631df
xor edi,ecx | 6631cf
xor edi,edx | 6631d7
xor edi,esi | 6631f7
xor edi,edi | 6631ff
xor edi,esp | 6631e7
xor edi,[ebx] | 6667333b
xor edi,[esi] | 6667333e
xor edi,[edi] | 6667333f
xor edi,[esp] | 6667333c24
xor edi,ebp | 6631ef
xor edi,[ebp] | 6667337d00
xor edi,0x10000000 | 6681f700000010
xor esp,eax | 6631c4
xor esp,ebx | 6631dc
xor esp,ecx | 6631cc
xor esp,edx | 6631d4
xor esp,esi | 6631f4
xor esp,edi | 6631fc
xor esp,esp | 6631e4
xor esp,[ebx] | 66673323
xor esp,[esi] | 66673326
xor esp,[edi] | 66673327
xor esp,[esp] | 6667332424
xor esp,ebp | 6631ec
xor esp,[ebp] | 6667336500
xor esp,0x10000000 | 6681f400000010
xor [ebx],eax | 66673103
xor [ebx],ebx | 6667311b
xor [ebx],ecx | 6667310b
xor [ebx],edx | 66673113
xor [ebx],esi | 66673133
xor [ebx],edi | 6667313b
xor [ebx],esp | 66673123
xor [ebx],ebp | 6667312b
xor [esi],eax | 66673106
xor [esi],ebx | 6667311e
xor [esi],ecx | 6667310e
xor [esi],edx | 66673116
xor [esi],esi | 66673136
xor [esi],edi | 6667313e
xor [esi],esp | 66673126
xor [esi],ebp | 6667312e
xor [edi],eax | 66673107
xor [edi],ebx | 6667311f
xor [edi],ecx | 6667310f
xor [edi],edx | 66673117
xor [edi],esi | 66673137
xor [edi],edi | 6667313f
xor [edi],esp | 66673127
xor [edi],ebp | 6667312f
xor [esp],eax | 6667310424
xor [esp],ebx | 6667311c24
xor [esp],ecx | 6667310c24
xor [esp],edx | 6667311424
xor [esp],esi | 6667313424
xor [esp],edi | 6667313c24
xor [esp],esp | 6667312424
xor [esp],ebp | 6667312c24
xor ebp,eax | 6631c5
xor ebp,ebx | 6631dd
xor ebp,ecx | 6631cd
xor ebp,edx | 6631d5
xor ebp,esi | 6631f5
xor ebp,edi | 6631fd
xor ebp,esp | 6631e5
xor ebp,[ebx] | 6667332b
xor ebp,[esi] | 6667332e
xor ebp,[edi] | 6667332f
xor ebp,[esp] | 6667332c24
xor ebp,ebp | 6631ed
xor ebp,[ebp] | 6667336d00
xor ebp,0x10000000 | 6681f500000010
xor [ebp],eax | 6667314500
xor [ebp],ebx | 6667315d00
xor [ebp],ecx | 6667314d00
xor [ebp],edx | 6667315500
xor [ebp],esi | 6667317500
